model,seed,rmse,mae,r2
LR,0,10.473709625067457,8.337402891865395,0.6045388384077018
LR,1,10.428514994774105,8.319453424608195,0.6047916274597884
LR,2,10.470941741076762,8.351121827553914,0.6004493536584861
RF,0,5.053453345874235,3.4861456393704806,0.9075712134014744
RF,1,4.981972732970088,3.4561490406071855,0.9100179207863046
RF,2,4.911366846718941,3.434770795654188,0.9104151416719907
XGB,0,4.320961019085821,2.879181766297053,0.9319843085287918
XGB,1,4.104734766873841,2.7925135899701163,0.9379990580340596
XGB,2,4.168676418332712,2.7787233863200957,0.9349306203215189
MLP,0,6.298380789009153,4.687390097637681,0.8554476733414008
MLP,1,6.442774096886353,4.862113199751535,0.8494531472733747
MLP,2,6.1979439391857145,4.651227297589779,0.859820717585348
