model,split,seed,ntrain,ntest,rmse,mae,r2
LR,random,0,721,155,10.045505879274959,8.197841500281186,0.6432273255883654
LR,random,1,721,155,10.472656062967213,8.371579532030616,0.5625604975871613
LR,random,2,721,155,11.097088026481186,9.049650580731761,0.5619223185332215
LR,A1,0,749,190,100.60436880917452,76.08099249122692,-61.270278741426644
LR,A1,1,749,190,100.60436880917452,76.08099249122692,-61.270278741426644
LR,A1,2,749,190,100.60436880917452,76.08099249122692,-61.270278741426644
LR,A2,0,260,425,27.659603785522602,26.241649211096927,-2.543447911979397
LR,A2,1,260,425,27.659603785522602,26.241649211096927,-2.543447911979397
LR,A2,2,260,425,27.659603785522602,26.241649211096927,-2.543447911979397
LR,C1,0,566,464,14.015094446057473,11.634858120896453,0.028432546055588537
LR,C1,1,566,464,14.015094446057473,11.634858120896453,0.028432546055588537
LR,C1,2,566,464,14.015094446057473,11.634858120896453,0.028432546055588537
LR,C2,0,471,559,20.144865184478526,17.027202065766392,-0.3378149799660426
LR,C2,1,471,559,20.144865184478526,17.027202065766392,-0.3378149799660426
LR,C2,2,471,559,20.144865184478526,17.027202065766392,-0.3378149799660426
LR,C3,0,379,651,13.204266655828889,10.490327720251551,0.3745642915869095
LR,C3,1,379,651,13.204266655828889,10.490327720251551,0.3745642915869095
LR,C3,2,379,651,13.204266655828889,10.490327720251551,0.3745642915869095
LR,A3-3,0,894,136,18.05456617798943,16.84091813840796,-2.3744764808477825
LR,A3-3,1,894,136,18.05456617798943,16.84091813840796,-2.3744764808477825
LR,A3-3,2,894,136,18.05456617798943,16.84091813840796,-2.3744764808477825
LR,A3-7,0,904,126,11.070804146520816,9.313657773468615,0.4191038403801113
LR,A3-7,1,904,126,11.070804146520816,9.313657773468615,0.4191038403801113
LR,A3-7,2,904,126,11.070804146520816,9.313657773468615,0.4191038403801113
LR,A3-14,0,968,62,4.609526944063738,3.3959900798473086,0.7105688664137344
LR,A3-14,1,968,62,4.609526944063738,3.3959900798473086,0.7105688664137344
LR,A3-14,2,968,62,4.609526944063738,3.3959900798473086,0.7105688664137344
LR,A3-28,0,605,425,10.798881477259586,8.439962256647409,0.45987821663357564
LR,A3-28,1,605,425,10.798881477259586,8.439962256647409,0.45987821663357564
LR,A3-28,2,605,425,10.798881477259586,8.439962256647409,0.45987821663357564
LR,A3-56,0,939,91,12.864866038919944,11.13055548751735,0.18263039914227075
LR,A3-56,1,939,91,12.864866038919944,11.13055548751735,0.18263039914227075
LR,A3-56,2,939,91,12.864866038919944,11.13055548751735,0.18263039914227075
LR,A3-90,0,899,131,11.99240479490578,10.578511338314673,0.20442793845754526
LR,A3-90,1,899,131,11.99240479490578,10.578511338314673,0.20442793845754526
LR,A3-90,2,899,131,11.99240479490578,10.578511338314673,0.20442793845754526
LR,A3-180+,0,971,59,61.70791059625883,56.44539475500485,-33.43599111005251
LR,A3-180+,1,971,59,61.70791059625883,56.44539475500485,-33.43599111005251
LR,A3-180+,2,971,59,61.70791059625883,56.44539475500485,-33.43599111005251
RF,random,0,721,155,5.078167862786137,3.5624259961597518,0.9088278775724752
RF,random,1,721,155,5.922710833969635,4.114696080645163,0.860091089061159
RF,random,2,721,155,5.184854133919849,3.6702194569892606,0.904367358540644
RF,A1,0,749,190,10.36097162644946,9.347987478070173,0.3395376016753068
RF,A1,1,749,190,10.375592588165029,9.362124916666668,0.3376722536602932
RF,A1,2,749,190,10.378775863502717,9.345584177944863,0.3372657814533142
RF,A2,0,260,425,15.900465557544393,13.837941155289807,-0.1709917209259264
RF,A2,1,260,425,16.042056645863404,14.00739441820728,-0.19193956193245643
RF,A2,2,260,425,15.877774235433765,13.819573310206131,-0.16765189537938796
RF,C1,0,566,464,9.342999448015906,7.577753466235637,0.568228922927473
RF,C1,1,566,464,9.312104185903012,7.513149145628088,0.571079747219047
RF,C1,2,566,464,9.372690348902077,7.565023650451564,0.5654803319646604
RF,C2,0,471,559,14.354615417574164,11.86918837209302,0.3207174673501394
RF,C2,1,471,559,14.447984070735663,11.906774025044722,0.31185203125610517
RF,C2,2,471,559,14.361250005185738,11.82551754919499,0.32008940441167566
RF,C3,0,379,651,15.891935794583688,12.834776973886317,0.09404275113210336
RF,C3,1,379,651,16.070956336414216,12.962263863287241,0.07351681198189064
RF,C3,2,379,651,15.905025166688253,12.836978195084473,0.09254975553016154
RF,A3-3,0,894,136,10.48295647294515,9.425916021870284,-0.13762690771899533
RF,A3-3,1,894,136,10.2855940312184,9.301772988007698,-0.09519398102556154
RF,A3-3,2,894,136,10.184724623320834,9.140027550332634,-0.07381847693380372
RF,A3-7,0,904,126,9.714571795957758,8.085569124622063,0.5527117450918095
RF,A3-7,1,904,126,9.796178516498175,8.065464243197273,0.5451653408330439
RF,A3-7,2,904,126,9.734542733028846,8.01304826766817,0.5508708101251609
RF,A3-14,0,968,62,9.98072734446988,9.022584245391702,-0.3569283400166876
RF,A3-14,1,968,62,10.10376448978416,9.114517473118278,-0.3905895423138548
RF,A3-14,2,968,62,10.005834006454004,9.048554717741931,-0.3637636715888559
RF,A3-28,0,605,425,11.628514053017957,9.114562720074693,0.37369974602857714
RF,A3-28,1,605,425,11.778337452002747,9.252918826470586,0.35745709965556904
RF,A3-28,2,605,425,11.901216206160303,9.278344957703082,0.34398037190140685
RF,A3-56,0,939,91,7.380955116913788,6.586474790685515,0.7309499519713282
RF,A3-56,1,939,91,7.3432005003499485,6.58714371271587,0.733695369535341
RF,A3-56,2,939,91,7.418189072070638,6.652725275379398,0.7282286062519396
RF,A3-90,0,899,131,5.348990560545453,4.355359038531451,0.8417256175715018
RF,A3-90,1,899,131,5.404985644015843,4.455201906579434,0.8383945309042133
RF,A3-90,2,899,131,5.273990146081344,4.331407875318077,0.8461329622976184
RF,A3-180+,0,971,59,5.16465640012949,4.07886016949154,0.7587797457051786
RF,A3-180+,1,971,59,5.266141542631954,4.144144067796626,0.7492066830290003
RF,A3-180+,2,971,59,5.322865869943276,4.195893220338995,0.7437747361970334
XGB,random,0,721,155,4.287799453525309,2.9423373549676706,0.9349994713535497
XGB,random,1,721,155,4.950818465610598,3.141212795503678,0.9022406464045991
XGB,random,2,721,155,4.782219379661378,3.1655915024049817,0.9186435376023735
XGB,A1,0,749,190,9.96594263501254,9.010713560807078,0.38893994548293176
XGB,A1,1,749,190,10.00231032384707,9.019050089785928,0.3844720510744941
XGB,A1,2,749,190,9.993385534716113,9.015775321558902,0.385569998676493
XGB,A2,0,260,425,14.627326810570242,12.572050740724453,0.009021863096771776
XGB,A2,1,260,425,14.658798536595658,12.694898775033389,0.004752956796333696
XGB,A2,2,260,425,14.525685374177419,12.475919466983571,0.02274610523332654
XGB,C1,0,566,464,8.253688569885325,6.48242703857093,0.6630410031912193
XGB,C1,1,566,464,8.360991202598875,6.465378050968565,0.654222736003611
XGB,C1,2,566,464,8.004947710847906,6.257578239112065,0.6830447867172951
XGB,C2,0,471,559,13.419964717905202,10.965973374566367,0.40629586722541366
XGB,C2,1,471,559,13.118791432408697,10.64332501549627,0.4326448791883344
XGB,C2,2,471,559,12.741700366221886,10.308171755563809,0.46479261178473386
XGB,C3,0,379,651,13.859140261656197,10.747900088144704,0.3109881664097528
XGB,C3,1,379,651,13.878793277893065,10.89178336558071,0.30903266822601394
XGB,C3,2,379,651,13.105104666423365,10.08496287959695,0.38392286824890043
XGB,A3-3,0,894,136,10.816304969663644,9.83120339828379,-0.21112826112434613
XGB,A3-3,1,894,136,10.60766859315541,9.61372360832551,-0.16485582699658985
XGB,A3-3,2,894,136,10.084596061892254,9.026080555074357,-0.05280831203513103
XGB,A3-7,0,904,126,9.648775188800624,7.789894859904333,0.5587501759421818
XGB,A3-7,1,904,126,9.569386546124731,7.848362579648455,0.5659813762286579
XGB,A3-7,2,904,126,9.654427434837569,8.084609322850666,0.5582330568202873
XGB,A3-14,0,968,62,6.6607180355319695,5.957216969766924,0.39566933979664143
XGB,A3-14,1,968,62,6.259430444195507,5.687067987380488,0.46629390141075433
XGB,A3-14,2,968,62,4.982400894868528,4.273163663802608,0.6618496295414297
XGB,A3-28,0,605,425,10.996531432203227,8.676375607299805,0.43992577888765816
XGB,A3-28,1,605,425,11.149294766404873,8.88219910107781,0.42425663893348176
XGB,A3-28,2,605,425,11.585281194369147,9.249742018755745,0.3783480470629974
XGB,A3-56,0,939,91,7.308363871780821,6.636279596182016,0.7362161095799136
XGB,A3-56,1,939,91,7.2752270582092935,6.621336154308948,0.7386027289624344
XGB,A3-56,2,939,91,7.31045573543332,6.64445543561663,0.7360650829171307
XGB,A3-90,0,899,131,4.482471721999515,3.59210176715414,0.8888518901626137
XGB,A3-90,1,899,131,4.5543380561699465,3.6464727561892443,0.885259300650147
XGB,A3-90,2,899,131,4.575807963488193,3.634987083609778,0.8841749372326422
XGB,A3-180+,0,971,59,3.785624945801275,2.996027433750993,0.8703996801578746
XGB,A3-180+,1,971,59,3.7393530450204207,3.0667331553313697,0.8735485410694829
XGB,A3-180+,2,971,59,3.4716807224821307,2.770552991446802,0.8910040252684243
MLP,random,0,721,155,6.5447538821262325,4.995916038103914,0.8485620931127194
MLP,random,1,721,155,7.019567690704653,5.229006006177767,0.8034717215811203
MLP,random,2,721,155,11.505709626619176,9.623196485303808,0.5290661753001433
MLP,A1,0,749,190,143.58714820556574,110.56089445966737,-125.84643575951236
MLP,A1,1,749,190,177.04493014644862,136.5747380480459,-191.8475465876212
MLP,A1,2,749,190,144.53041545335833,110.35640578189717,-127.5184948343719
MLP,A2,0,260,425,81.2181255005198,80.75838915633544,-29.552029687418806
MLP,A2,1,260,425,76.04428066985557,75.46252740866923,-25.78349549925161
MLP,A2,2,260,425,81.27721326645843,80.86448466878478,-29.59650024976342
MLP,C1,0,566,464,13.155082129536106,10.30428186642196,0.14401130650011784
MLP,C1,1,566,464,10.939080222198156,8.741857988448652,0.408107938592672
MLP,C1,2,566,464,11.116581264620493,8.9219864907534,0.3887436344110218
MLP,C2,0,471,559,16.16085944870804,13.100723979075324,0.13901372104380283
MLP,C2,1,471,559,15.317783542353112,12.343904258717657,0.2265020263730082
MLP,C2,2,471,559,16.356199914198413,13.440696143033017,0.11807400412932068
MLP,C3,0,379,651,14.824318122341127,11.829575626540008,0.21167817015311008
MLP,C3,1,379,651,18.520623745253566,14.191907430177828,-0.2304538191545582
MLP,C3,2,379,651,14.307798115506106,11.284681246656174,0.2656557343933227
